AllSF,OverallQual,NeighborPrice,GrLivArea,ExterQual_,NeighborBin,KitchenQual_,SimplOverallQual,TotalBsmtSF,GarageCars,TotalBath,GarageScore,GarageArea,1stFlrSF,BsmtQual_,OverallGrade,FullBath,TotRmsAbvGrd,Now_YearBuilt,YearBuilt,Id,SalePrice
1728.0,4,140000.0,864,2,2,2,2,864.0,1.0,1.0,840.0,280.0,864,3,20,1,5,47,1970,38,116050
3391.0,7,124300.0,2019,2,1,3,3,728.0,2.0,1.0,1596.0,532.0,1136,4,56,1,8,107,1910,39,167500
2993.0,6,153500.0,1118,2,2,2,2,1096.0,1.0,2.0,1074.0,358.0,1118,3,36,1,6,40,1977,40,171000
3935.0,9,315000.0,1684,4,4,4,3,1684.0,2.0,2.0,1692.0,564.0,1684,5,45,2,6,12,2005,41,266000
2204.0,5,140000.0,1065,2,2,2,2,1065.0,2.0,1.5,1383.0,461.0,1065,3,25,1,6,57,1960,42,126500
2290.0,4,119000.0,1452,2,1,2,2,736.0,0.0,2.0,0.0,0.0,736,3,20,2,8,97,1920,43,113000
1804.0,6,120000.0,1096,2,1,2,2,572.0,0.0,1.0,0.0,0.0,572,3,30,1,5,93,1924,44,79000
2397.0,7,197200.0,1582,3,2,3,3,770.0,2.0,2.5,1560.0,520.0,770,4,35,2,6,13,2004,45,185900
3370.0,8,197200.0,2031,3,2,3,3,1128.0,2.0,3.5,1731.0,577.0,1128,4,40,2,7,15,2002,46,237000
3096.0,7,197200.0,1422,3,2,3,3,1422.0,2.0,2.0,1878.0,626.0,1422,4,35,2,7,13,2004,47,179600
2631.0,6,119000.0,1912,2,1,2,2,482.0,2.0,2.0,2688.0,672.0,1221,2,42,2,7,112,1905,48,163000
1771.0,5,153500.0,1771,2,2,2,2,0.0,2.0,1.0,1008.0,336.0,1771,0,20,1,9,57,1960,49,115000
2859.0,7,181000.0,1863,3,2,3,3,879.0,3.0,2.5,1980.0,660.0,879,4,35,2,9,11,2006,50,219210
1932.0,4,120000.0,948,2,1,2,2,948.0,1.0,2.0,840.0,280.0,948,3,24,1,5,63,1954,51,119000
2120.0,5,119000.0,968,3,1,2,2,968.0,2.0,1.0,960.0,480.0,968,3,30,1,5,94,1923,52,100000
1778.0,5,135000.0,902,2,1,2,2,876.0,1.0,1.0,864.0,288.0,902,3,30,1,6,50,1967,53,125500
1696.0,4,135000.0,960,2,1,2,2,648.0,1.0,1.5,1092.0,364.0,960,3,36,0,3,52,1965,54,145000
2923.0,7,197200.0,1928,3,2,3,3,847.0,2.0,2.5,1302.0,434.0,847,4,35,2,8,14,2003,55,219500
3150.0,6,197200.0,1493,2,2,3,2,1478.0,2.0,3.0,1524.0,508.0,1493,4,30,2,7,20,1997,56,208900
2042.0,6,124300.0,952,2,1,1,2,952.0,1.0,1.0,384.0,192.0,952,3,36,1,4,101,1916,57,121000
3172.0,5,120000.0,1466,2,1,1,2,1466.0,2.0,1.5,1584.0,528.0,1466,3,20,1,6,58,1959,58,149900
3581.0,8,197200.0,1694,3,2,3,3,1694.0,3.0,2.0,2328.0,776.0,1694,4,40,2,7,9,2008,59,245350
4002.0,9,315000.0,1869,4,4,4,3,1869.0,2.0,2.0,1851.0,617.0,1869,5,45,2,6,10,2007,60,318061
3375.0,8,197200.0,2090,3,2,3,3,1220.0,2.0,3.5,1668.0,556.0,1220,4,40,2,8,22,1995,61,240000
2041.0,6,140000.0,1194,2,2,2,2,655.0,2.0,1.5,1617.0,539.0,1194,3,36,1,6,58,1959,62,159500
2655.0,6,139500.0,1647,2,2,1,2,806.0,1.0,2.5,648.0,216.0,841,4,24,1,6,102,1915,63,128000
3200.0,7,181000.0,2236,2,2,3,3,964.0,2.0,2.5,1926.0,642.0,993,4,35,2,8,20,1997,64,222000
3216.0,7,197200.0,1494,3,2,3,3,1494.0,2.0,3.0,1590.0,530.0,1494,4,35,2,6,15,2002,65,221000
1871.0,6,179900.0,1217,2,2,2,2,626.0,1.0,1.5,864.0,288.0,626,4,36,1,6,37,1980,66,120000
3964.0,6,182900.0,2073,2,2,2,2,1542.0,2.0,3.0,1500.0,500.0,2073,4,36,2,7,39,1978,67,210000
3501.0,7,200624.0,2080,3,3,3,3,1276.0,1.0,1.5,846.0,282.0,1276,4,63,1,9,91,1926,68,234000
3385.0,5,140000.0,1776,2,2,2,2,1584.0,3.0,3.0,2664.0,888.0,1776,3,25,2,9,59,1958,69,110000
1728.0,5,197200.0,864,2,2,2,2,864.0,1.0,2.0,1014.0,338.0,864,3,30,1,5,45,1972,70,133500
1854.0,4,88000.0,1092,2,0,2,2,546.0,1.0,1.5,858.0,286.0,546,3,20,1,6,44,1973,71,83500
2046.0,4,103000.0,1154,2,1,3,2,796.0,1.0,2.0,720.0,240.0,796,3,32,1,7,95,1922,72,125500
2626.0,7,181000.0,1302,3,2,3,3,1302.0,2.0,2.0,1308.0,436.0,1302,4,35,2,6,10,2007,73,176485
2146.0,5,140000.0,1073,2,2,2,2,1073.0,2.0,2.5,1545.0,515.0,1073,3,35,1,6,52,1965,74,156000
2319.0,6,135000.0,1068,2,1,2,2,1059.0,1.0,1.5,792.0,264.0,1068,3,48,1,6,54,1963,75,154500
1794.0,5,140000.0,1360,2,2,2,2,384.0,2.0,1.0,1716.0,572.0,1360,3,25,1,6,62,1955,76,130000
2258.0,7,225000.0,1382,3,3,3,3,673.0,2.0,3.5,1470.0,490.0,673,4,35,2,6,17,2000,77,165000
4001.0,9,225000.0,1905,4,3,4,3,1905.0,3.0,2.0,2364.0,788.0,1905,5,45,2,8,11,2006,78,320000
2299.0,7,181000.0,1432,3,2,3,3,716.0,2.0,3.5,1296.0,432.0,716,4,35,2,6,13,2004,79,188500
2417.0,7,315000.0,1626,3,4,3,3,764.0,2.0,2.5,1422.0,474.0,764,4,35,2,6,14,2003,80,175500
3810.0,6,182900.0,1844,2,2,2,2,1844.0,2.0,2.0,1638.0,546.0,1844,4,36,2,7,40,1977,81,190000
4199.0,9,315000.0,1980,3,4,4,3,1980.0,3.0,3.0,2310.0,770.0,1980,5,45,2,8,13,2004,82,315000
3456.0,6,182900.0,1610,2,2,3,2,1610.0,2.0,3.0,1440.0,480.0,1610,3,42,2,6,40,1977,83,205000
3681.0,6,139500.0,2447,2,2,3,2,804.0,1.0,2.0,1008.0,336.0,1699,3,42,2,10,98,1919,84,169000
3399.0,8,191000.0,1567,3,2,4,3,1520.0,3.0,3.0,1944.0,648.0,1567,4,40,2,7,11,2006,85,264561
3198.0,5,139500.0,2192,2,2,3,2,720.0,1.0,2.5,720.0,240.0,1052,3,40,2,8,78,1939,86,179500
2935.0,6,140000.0,1839,2,2,2,2,756.0,2.0,1.5,1326.0,442.0,1051,3,30,1,7,51,1966,87,155000
2669.0,6,182900.0,1743,3,2,2,2,702.0,2.0,2.5,1617.0,539.0,1041,3,36,1,7,49,1968,88,175000
3748.0,7,153500.0,1710,3,2,3,3,1710.0,2.0,2.0,1650.0,550.0,1710,5,35,2,7,13,2004,89,240000
2148.0,5,135000.0,1236,2,1,2,2,912.0,1.0,1.0,864.0,288.0,1236,3,35,1,6,56,1961,90,135000
1976.0,5,135000.0,988,2,1,2,2,988.0,2.0,2.0,1716.0,572.0,988,3,25,1,5,56,1961,91,128500
2931.0,7,225000.0,1301,3,3,3,3,1293.0,2.0,3.0,1716.0,572.0,1301,4,35,2,5,11,2006,92,187750
1716.0,4,140000.0,858,2,2,2,2,858.0,0.0,1.0,0.0,0.0,858,3,16,1,5,46,1971,93,88000
2607.0,6,181000.0,1593,2,2,2,2,839.0,2.0,3.5,1194.0,398.0,864,3,30,2,8,13,2004,94,193000
1361.0,5,124300.0,616,2,1,2,2,616.0,1.0,1.0,615.0,205.0,616,3,35,1,4,96,1921,95,89000
2241.0,6,146000.0,958,2,2,2,2,1078.0,2.0,2.0,1320.0,440.0,958,4,30,2,5,41,1976,96,128000
2514.0,6,226250.0,1344,2,3,3,2,819.0,2.0,1.5,1575.0,525.0,1344,3,36,1,7,59,1958,97,137500
3308.0,7,182900.0,2263,2,2,3,3,795.0,2.0,3.5,1617.0,539.0,1468,3,49,2,9,40,1977,98,235000
2328.0,4,135000.0,1120,2,1,1,2,1040.0,2.0,2.5,1632.0,544.0,1120,3,20,1,5,56,1961,99,129000
3925.0,8,301500.0,2365,3,4,3,3,1252.0,3.0,3.5,2568.0,856.0,1268,4,40,2,8,18,1999,100,337000
2406.0,5,106000.0,1365,2,1,2,2,765.0,2.0,2.5,1320.0,440.0,765,3,25,1,6,46,1971,101,122500
3667.0,8,301500.0,1924,3,4,3,3,1086.0,2.0,3.5,1776.0,592.0,1086,4,40,2,7,19,1998,102,280000
2339.0,5,119000.0,1382,2,1,2,2,720.0,2.0,1.5,1980.0,660.0,854,3,30,1,7,76,1941,103,128500
2763.0,5,139500.0,1768,2,2,3,2,731.0,1.0,2.5,720.0,240.0,981,4,35,1,7,80,1937,104,175000
1512.0,5,135000.0,672,2,1,2,2,672.0,1.0,1.0,720.0,240.0,672,3,40,1,4,77,1940,105,108000
1647.0,5,120000.0,1072,2,1,2,2,547.0,2.0,2.0,1575.0,525.0,1072,4,25,1,5,12,2005,106,145000
2184.0,6,140000.0,1092,2,2,2,2,1092.0,2.0,2.0,1512.0,504.0,1092,4,42,1,6,53,1964,107,145000
2130.0,5,135000.0,999,2,1,3,2,999.0,1.0,2.0,792.0,264.0,999,3,35,1,6,55,1962,108,132500
1728.0,4,140000.0,864,2,2,2,2,864.0,0.0,1.0,0.0,0.0,864,3,20,1,5,46,1971,109,115000
3089.0,7,301500.0,1850,3,4,3,3,973.0,2.0,2.5,1401.0,467.0,979,4,42,2,7,23,1994,110,248000
3220.0,7,181000.0,2060,3,2,3,3,992.0,2.0,3.5,1170.0,390.0,1022,4,35,2,8,18,1999,111,214000
2152.0,5,135000.0,980,2,1,2,2,980.0,2.0,1.0,1452.0,484.0,980,3,30,1,6,40,1977,112,135000
2083.0,5,140000.0,900,2,2,2,2,864.0,1.0,2.0,864.0,288.0,900,3,25,1,6,50,1967,113,123000
2106.0,5,140000.0,1053,3,2,3,2,1053.0,1.0,2.5,936.0,312.0,1053,3,35,1,5,58,1959,114,145500
4357.0,9,315000.0,2713,4,4,4,3,1452.0,3.0,3.5,2574.0,858.0,1476,5,45,2,11,9,2008,115,446261
2078.0,4,103000.0,720,2,1,2,2,720.0,0.0,1.0,0.0,0.0,720,3,20,1,4,97,1920,116,34900
3622.0,8,315000.0,1713,3,4,4,3,1713.0,3.0,3.0,2568.0,856.0,1713,5,40,2,7,13,2004,117,274900
2979.0,6,182900.0,1440,3,2,3,2,1440.0,2.0,2.0,1401.0,467.0,1440,4,42,2,7,36,1981,118,182900
2584.0,7,225000.0,1674,3,3,3,3,814.0,2.0,3.5,1989.0,663.0,814,4,35,2,7,17,2000,119,216000
2698.0,6,140000.0,1136,2,2,2,2,1136.0,1.0,2.0,1152.0,384.0,1136,3,36,1,5,52,1965,120,140000
1808.0,3,103000.0,894,1,1,2,1,894.0,3.0,1.0,3744.0,1248.0,894,3,12,1,6,82,1935,121,81000
2509.0,8,119000.0,1666,2,1,3,3,588.0,1.0,1.0,684.0,228.0,833,3,56,1,7,92,1925,122,161000
2080.0,5,135000.0,1040,2,1,2,2,1040.0,1.0,2.0,1152.0,384.0,1040,3,25,1,5,52,1965,123,129500
3111.0,7,181000.0,2035,3,2,3,3,884.0,2.0,2.5,1302.0,434.0,884,4,35,2,8,16,2001,124,222500
1713.0,7,225000.0,1102,3,3,3,3,551.0,2.0,2.5,1440.0,480.0,551,4,35,2,4,13,2004,125,148800
3296.0,8,225000.0,1468,3,3,3,3,1468.0,3.0,2.0,2694.0,898.0,1468,4,40,2,6,9,2008,126,244600
2501.0,5,200624.0,1336,2,3,2,2,1165.0,1.0,2.0,1125.0,375.0,1336,3,25,1,5,64,1953,127,157000
3018.0,5,192000.0,1473,2,3,4,2,1437.0,1.0,3.0,1356.0,452.0,1473,3,40,1,5,49,1968,128,143000
2644.0,5,120000.0,1716,2,1,2,2,768.0,1.0,1.5,843.0,281.0,1148,3,20,1,8,68,1949,129,131000
3372.0,5,182900.0,1484,2,2,2,2,1484.0,2.0,2.0,1461.0,487.0,1484,4,30,2,7,46,1971,130,175000
3982.0,8,315000.0,1836,3,4,3,3,1836.0,3.0,3.0,2586.0,862.0,1836,5,40,2,7,13,2004,131,280000
2300.0,5,119000.0,1022,2,1,2,2,1022.0,1.0,2.0,840.0,280.0,1022,3,20,1,4,107,1910,132,85000
827.0,5,140000.0,827,2,2,2,2,0.0,1.0,1.0,1176.0,392.0,827,0,35,1,5,62,1955,133,107500
1584.0,5,103000.0,1044,1,1,1,2,540.0,2.0,1.0,1512.0,504.0,1044,3,25,1,4,65,1952,134,55993
2321.0,5,140000.0,1053,2,2,4,2,1008.0,2.0,2.0,2250.0,750.0,1053,3,35,1,6,59,1958,135,150000
2574.0,5,140000.0,1092,2,2,2,2,1092.0,1.0,2.0,897.0,299.0,1092,3,25,1,6,60,1957,136,141000
2719.0,6,181000.0,1638,2,2,2,2,943.0,2.0,3.5,1416.0,472.0,943,4,30,2,7,19,1998,137,192000
3590.0,8,218000.0,1719,3,3,3,3,1719.0,2.0,3.5,1419.0,473.0,1719,4,40,1,6,24,1993,138,324000
3364.0,6,140000.0,2117,2,2,2,2,1205.0,2.0,2.5,1650.0,550.0,2117,3,42,2,7,47,1970,139,237500
1893.0,6,124300.0,904,3,1,2,2,884.0,1.0,1.0,540.0,180.0,904,3,42,1,4,91,1926,140,119000
4014.0,9,226250.0,1838,4,3,4,3,1838.0,3.0,3.0,2295.0,765.0,1838,5,45,2,8,11,2006,141,315000
3084.0,7,182900.0,1682,2,2,2,3,1304.0,2.0,2.0,1590.0,530.0,1682,3,42,2,7,47,1970,142,174000
2517.0,7,225000.0,1547,2,3,3,3,756.0,2.0,2.5,1842.0,614.0,764,4,35,2,7,8,2009,143,215200
3809.0,9,278000.0,2504,3,4,4,3,1122.0,3.0,2.5,1968.0,656.0,1134,4,45,2,11,12,2005,144,325000
1836.0,6,197200.0,848,3,2,3,2,848.0,2.0,2.0,1260.0,420.0,848,4,30,1,3,14,2003,145,136500
1926.0,6,120000.0,1196,2,1,3,2,684.0,2.0,1.0,1584.0,528.0,684,3,48,1,7,97,1920,146,110000
2460.0,5,140000.0,1052,2,2,2,2,1052.0,1.0,2.5,864.0,288.0,1052,3,25,1,5,49,1968,147,138500
2865.0,6,140000.0,1520,2,2,2,2,1156.0,1.0,2.0,1092.0,364.0,1520,3,36,1,7,62,1955,148,153000
2210.0,6,119000.0,1368,2,1,2,2,684.0,1.0,1.0,648.0,216.0,684,3,42,1,7,107,1910,149,114504
4945.0,6,139500.0,3395,1,2,1,2,1440.0,0.0,2.0,0.0,0.0,1440,3,42,2,14,103,1914,150,200000
3074.0,7,225000.0,1947,3,3,3,3,991.0,2.0,2.5,2034.0,678.0,991,4,35,2,8,13,2004,151,254900
2339.0,6,181000.0,1484,3,2,3,2,783.0,2.0,2.5,1179.0,393.0,783,4,30,2,8,12,2005,152,178900
2368.0,6,140000.0,1054,2,2,2,2,1054.0,2.0,2.5,1380.0,460.0,1054,4,48,1,6,48,1969,153,151000
2062.0,6,192000.0,1052,2,3,2,2,1010.0,2.0,2.0,1320.0,440.0,1052,3,42,1,6,46,1971,154,155000
2015.0,5,124300.0,1015,2,1,2,2,768.0,1.0,1.0,1350.0,450.0,1015,3,35,1,6,92,1925,155,88000
2114.0,5,135000.0,1057,2,1,2,2,1057.0,2.0,1.0,1728.0,576.0,1057,3,25,1,6,55,1962,156,132000
3012.0,4,192000.0,1788,2,3,2,2,1104.0,1.0,2.0,912.0,304.0,1104,3,20,1,8,60,1957,157,161500
2508.0,4,140000.0,1738,2,2,2,2,715.0,1.0,2.0,1104.0,368.0,1281,3,16,2,7,97,1920,158,104900
2976.0,6,140000.0,1392,2,2,2,2,1392.0,2.0,2.5,1374.0,458.0,1392,3,30,1,6,60,1957,159,166000
3444.0,7,197200.0,1654,3,2,3,3,1654.0,3.0,3.0,2700.0,900.0,1654,4,35,2,6,15,2002,160,230000
1918.0,6,106000.0,1218,2,1,2,2,672.0,1.0,2.0,792.0,264.0,672,3,42,1,7,45,1972,161,118000
1996.0,4,124300.0,1324,2,1,2,2,672.0,1.0,1.0,720.0,240.0,757,3,24,1,6,81,1936,162,128000
3597.0,6,197200.0,1700,3,2,3,2,1682.0,2.0,3.0,1632.0,544.0,1700,4,30,2,7,14,2003,163,200000
2756.0,6,179900.0,1710,3,2,3,2,832.0,2.0,2.5,1518.0,506.0,832,4,30,2,7,24,1993,164,187000
2651.0,5,124300.0,1573,2,1,2,2,1078.0,2.0,2.0,1080.0,360.0,1128,3,35,2,8,87,1930,165,162900
2540.0,5,140000.0,1644,2,2,3,2,728.0,1.0,1.5,936.0,312.0,888,3,35,1,7,75,1942,166,146500
3363.0,7,197200.0,1588,3,2,3,3,1588.0,2.0,2.0,1416.0,472.0,1588,4,35,2,6,18,1999,167,214000
2724.0,7,120000.0,1708,3,1,3,3,976.0,2.0,2.0,1140.0,380.0,976,4,35,2,7,13,2004,168,130000
7676.0,10,301500.0,4476,3,4,4,3,2396.0,3.0,4.5,2439.0,813.0,2411,5,50,3,10,21,1996,169,745000
2710.0,5,181000.0,1838,3,2,2,2,732.0,2.0,2.5,1116.0,372.0,734,4,25,2,7,12,2005,170,192140
1818.0,6,120000.0,1258,2,1,2,2,560.0,1.0,1.0,840.0,280.0,698,3,30,1,6,78,1939,171,105000
3560.0,7,179900.0,2097,3,2,3,3,1080.0,3.0,3.0,2034.0,678.0,1080,4,35,2,9,24,1993,172,228000
3453.0,8,197200.0,1872,3,2,4,3,1299.0,2.0,3.5,1593.0,531.0,1299,4,40,2,7,16,2001,173,261500
4619.0,10,119000.0,2775,4,1,3,3,1237.0,2.0,3.5,3520.0,880.0,1521,3,90,3,9,124,1893,174,325000
1040.0,5,140000.0,1040,2,2,2,2,0.0,2.0,1.0,1875.0,625.0,1040,0,35,1,5,67,1950,175,109500
4015.0,8,278000.0,1826,3,4,3,3,1814.0,3.0,3.0,2274.0,758.0,1826,4,40,2,7,12,2005,176,319000
4018.0,9,315000.0,1828,4,4,3,3,1822.0,3.0,2.0,2322.0,774.0,1828,5,45,2,9,10,2007,177,314813
2894.0,6,226250.0,1756,3,3,2,2,872.0,2.0,3.5,1266.0,422.0,888,5,30,2,7,21,1996,178,204000
4087.0,8,301500.0,2612,3,4,3,3,1225.0,3.0,3.5,2028.0,676.0,1276,4,40,2,8,19,1998,179,336000
2050.0,5,135000.0,935,2,1,2,2,935.0,1.0,2.0,864.0,288.0,935,3,30,1,5,52,1965,180,137000
2121.0,5,140000.0,912,2,2,2,2,912.0,1.0,1.5,891.0,297.0,912,3,35,1,5,59,1958,181,120000
1808.0,5,119000.0,1034,2,1,2,2,735.0,1.0,1.0,720.0,240.0,735,3,30,1,5,77,1940,182,109000
2443.0,6,103000.0,1375,2,1,3,2,780.0,1.0,1.5,1632.0,544.0,780,3,36,1,6,80,1937,183,141000
2901.0,6,124300.0,1848,2,1,3,2,833.0,2.0,1.5,1110.0,370.0,1053,3,42,1,8,94,1923,184,207000
4271.0,8,301500.0,1987,3,4,3,3,1986.0,2.0,3.0,2073.0,691.0,1987,4,40,2,7,23,1994,185,301500
2557.0,6,153500.0,1216,2,2,2,2,1216.0,2.0,3.0,1206.0,402.0,1216,5,30,2,5,19,1998,186,164000
2446.0,5,124300.0,1301,2,1,1,2,1145.0,2.0,1.0,1320.0,440.0,1301,3,25,1,5,93,1924,187,100000
2140.0,4,103000.0,1336,2,1,2,2,637.0,1.0,1.5,1710.0,570.0,897,3,24,1,7,97,1920,188,108000
3523.0,5,182900.0,1656,2,2,2,2,1656.0,2.0,2.0,1518.0,506.0,1656,3,25,2,8,44,1973,189,135000
2612.0,5,120000.0,1214,2,1,2,2,1214.0,2.0,2.0,922.0,461.0,1214,3,35,1,6,52,1965,190,140000
2451.0,6,181000.0,1501,2,2,3,2,697.0,2.0,2.5,1260.0,420.0,697,4,30,2,6,24,1993,191,165600
2730.0,7,140000.0,1277,2,2,2,3,1277.0,2.0,2.0,1578.0,526.0,1277,3,35,1,5,47,1970,192,167000
3115.0,7,301500.0,1839,3,4,2,3,1195.0,2.0,2.5,1458.0,486.0,1195,4,35,2,7,19,1998,193,221000
2651.0,6,119000.0,1484,2,1,2,2,742.0,0.0,2.0,0.0,0.0,742,3,36,2,9,103,1914,194,128000
3007.0,5,120000.0,2008,2,1,4,2,896.0,1.0,4.0,690.0,230.0,1112,3,40,3,8,69,1948,195,225000
3568.0,7,197200.0,1630,3,2,3,3,1630.0,2.0,2.0,1353.0,451.0,1630,4,35,2,6,17,2000,196,213000
2783.0,7,182900.0,1664,2,2,2,3,832.0,2.0,2.5,1584.0,528.0,832,4,35,2,8,41,1976,197,162900
2728.0,7,181000.0,1733,3,2,3,3,847.0,2.0,2.5,1299.0,433.0,847,4,35,2,7,14,2003,198,225000
3178.0,9,225000.0,1506,3,3,4,3,1498.0,2.0,2.0,1776.0,592.0,1506,4,45,2,6,9,2008,199,264132
1876.0,4,119000.0,1140,2,1,2,2,576.0,0.0,1.0,0.0,0.0,792,3,28,1,7,107,1910,200,96500
2471.0,6,181000.0,1167,2,2,3,2,1158.0,2.0,3.0,1200.0,400.0,1167,4,36,2,6,25,1992,201,173000
3290.0,8,225000.0,1496,3,3,3,3,1496.0,2.0,2.0,1422.0,474.0,1496,4,40,2,7,10,2007,202,225000
3140.0,6,182900.0,1586,2,2,2,2,1362.0,2.0,2.0,1305.0,435.0,1586,4,30,2,7,38,1979,203,181000
4510.0,9,278000.0,2234,4,4,4,3,2216.0,3.0,3.0,3498.0,1166.0,2234,5,45,2,9,9,2008,204,501837
1782.0,5,135000.0,900,2,1,2,2,882.0,1.0,1.0,840.0,280.0,900,3,25,1,5,50,1967,205,122000
2153.0,4,119000.0,1363,2,1,2,2,622.0,2.0,1.0,1584.0,528.0,741,2,28,1,6,107,1910,206,125500
2214.0,5,140000.0,1283,2,2,2,2,931.0,2.0,2.0,1518.0,506.0,1283,3,35,1,6,55,1962,207,140000
2126.0,6,153500.0,1003,2,2,2,2,1003.0,2.0,2.0,1764.0,588.0,1003,3,36,1,6,33,1984,208,142500
3611.0,5,140000.0,1728,2,2,2,2,1728.0,1.0,2.5,1056.0,352.0,1728,3,20,2,10,53,1964,209,119000
2324.0,6,146000.0,1441,2,2,2,2,855.0,2.0,2.5,1320.0,440.0,855,3,36,2,7,39,1978,210,148500
2515.0,4,135000.0,1382,2,1,2,2,1051.0,2.0,1.5,1377.0,459.0,1382,3,20,1,6,54,1963,211,148000
